NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	STAR	2804	0.9733997583389282	-0.080738544	Yes	
row_1	GRAMD1B	3686	0.8429425358772278	-0.03858088	Yes	
row_2	C2CD2L	4096	0.7742641568183899	0.02913302	Yes	
row_3	ABCG8	4369	0.7243106961250305	0.10049068	Yes	
row_4	PRELID2	4604	0.6901136636734009	0.1703017	Yes	
row_5	MTTP	4852	0.6489775776863098	0.2339994	Yes	
row_6	ABCG5	4934	0.6352003812789917	0.30798966	Yes	
row_7	OSBPL2	6207	0.4381881356239319	0.27093834	Yes	
row_8	PITPNB	6520	0.38710519671440125	0.29700488	Yes	
row_9	PITPNM1	6683	0.35893961787223816	0.33039606	Yes	
row_10	TTPA	7092	0.2996346950531006	0.33851174	Yes	
row_11	GLTPD2	7792	0.20800702273845673	0.31402865	Yes	
row_12	ABCG1	7797	0.20694415271282196	0.339756	Yes	
row_13	STARD3	8175	0.1609559804201126	0.33268255	Yes	
row_14	PLTP	8487	0.1290731430053711	0.3263816	Yes	
row_15	GRAMD1A	8512	0.12676937878131866	0.3405806	Yes	
row_16	TNFAIP8L3	8902	0.09126213192939758	0.32387593	No	
row_17	PITPNM2	8988	0.08421748131513596	0.3283066	No	
row_18	TRIAP1	9120	0.07340417802333832	0.3280457	No	
row_19	PLEKHA8	9352	0.05804985389113426	0.31861067	No	
row_20	PLEKHA3	9861	0.03185482695698738	0.28581724	No	
row_21	PRELID1	11122	0.004229491110891104	0.19507767	No	
row_22	GLTP	11262	0.003109291661530733	0.18539977	No	
row_23	PITPNC1	11556	0.0015709272120147943	0.16437307	No	
row_24	STARD5	11686	0.0010631863260641694	0.15516229	No	
row_25	PITPNA	12091	2.8530953568406403E-4	0.12593341	No	
row_26	STARD4	12141	2.2430115495808423E-4	0.12241217	No	
row_27	GRAMD1C	12622	2.3102242266759276E-5	0.08764506	No	
row_28	OSBP	12626	2.2497129975818098E-5	0.087430574	No	
row_29	NPC2	12738	1.0953055607387796E-5	0.07939139	No	
row_30	CERT1	12973	1.9284029804111924E-6	0.062441252	No	
row_31	APOE	13099	7.597171816087211E-7	0.05338666	No	
row_32	APOA2	13315	4.065719849677407E-8	0.037812594	No	
row_33	APOA1	13649	1.3952696636954087E-11	0.0136909	No	
row_34	ABCA1	13809	4.777930927425535E-20	0.0021733348	No	
row_35	APOB	13816	5.44781030258389E-22	0.0017387096	No	
row_36	APOA4	13841	0.0	2.091443E-7	No	
